Price_KRW,Visitors_Flat,Revenue_Flat,Revenue_Dual_B1,Revenue_Dual_B2,Visitor_Loss_Pct
23388.77755511022,1981870.2881996417,46353523313.78361,51582339230.68127,26345682834.57051,56.1994258787846
23486.973947895793,1965495.0431419588,46163530872.9935,51572406058.79796,26335749662.687202,56.561329046299
23585.170340681365,1949119.7980842753,45970322452.212105,51562304749.2672,26325648353.15645,56.9232322138134
23683.366733466937,1932744.5530265924,45773898051.43942,51552035302.089,26315378905.97825,57.28513538132779
23781.563126252506,1916369.3079689099,45574257670.67546,51541597717.26335,26304941321.152603,57.64703854884217
23879.759519038078,1899994.0629112269,45371401309.920204,51530991994.79027,26294335598.679512,58.00894171635657
23977.95591182365,1883618.817853544,45165328969.17366,51520218134.66973,26283561738.55898,58.37084488387095
24076.15230460922,1867243.5727958614,44956040648.43583,51509276136.90175,26272619740.791,58.73274805138533
24174.34869739479,1850868.327738178,44743536347.706696,51498166001.48633,26261509605.375572,59.09465121889973
24272.545090180363,1834493.082680495,44527816066.98629,51486887728.423454,26250231332.312706,59.456554386414126
24370.741482965932,1818117.8376228125,44308879806.2746,51475441317.71314,26238784921.60239,59.8184575539285
24468.937875751504,1801742.5925651295,44086727565.57161,51463826769.355385,26227170373.244633,60.180360721442895
24567.134268537076,1785367.347507446,43861359344.87732,51452044083.35018,26215387687.23943,60.542263888957294
24665.33066132265,1768992.102449763,43632775144.19176,51440093259.69753,26203436863.58678,60.90416705647169
24763.527054108217,1752616.8573920806,43400974963.51491,51427974298.39744,26191317902.286686,61.26607022398607
24861.72344689379,1736241.6123343976,43165958802.84677,51415687199.4499,26179030803.33915,61.627973391500454
24959.91983967936,1719866.3672767142,42927726662.18733,51403231962.85492,26166575566.744167,61.98987655901485
25058.11623246493,1703491.1222190317,42686278541.53662,51390608588.61249,26153952192.50174,62.351779726529244
25156.312625250503,1687115.8771613492,42441614440.89462,51377817076.72262,26141160680.611866,62.71368289404362
25254.509018036075,1670740.6321036657,42193734360.26132,51364857427.1853,26128201031.074547,63.07558606155802
25352.705410821643,1654365.3870459832,41942638299.63674,51351729640.000534,26115073243.889786,63.437489229072405
25450.901803607216,1637990.1419882998,41688326259.02086,51338433715.16833,26101777319.05758,63.79939239658681
25549.098196392788,1621614.8969306173,41430798238.41371,51324969652.688675,26088313256.577927,64.16129556410118
25647.29458917836,1605239.6518729338,41170054237.815254,51311337452.56158,26074681056.45083,64.52319873161558
25745.49098196393,1588864.4068152513,40906094257.22552,51297537114.78704,26060880718.676285,64.88510189912998
